nct_id,phase,sponsor_name,sponsor_type,study_title,cohort,age_min,age_max,type_lung_nsclc_adeno,type_lung_nsclc_large,type_lung_nsclc_squamous,type_lung_sclc,stage_i,stage_ii,stage_iii,stage_iv,stage_sclc_ls,stage_sclc_es,status_newly_diagnosed,status_relapse,status_refractory,marker_alk_oncogene,marker_egfr_mutation,marker_kras_mutation,treatment_radiation,treatment_radiation_exclusion_period_mo,treatment_chemo_systemic,treatment_chemo_systemic_exclusion_period_mo,treatment_chemo_adjuvant,treatment_chemo_adjuvant_exclusion_period_mo,treatment_tki,treatment_tki_exclusion_period_mo,eligibility_criteria_text
                       fibrosis, or pulmonary hypersensitivity pneumonitis or multiple allergies.
                       Any lung disease that may interfere with the detection or management of
                       suspected drug-related pulmonary toxicity.

                   14. Subject has a clinically significant malabsorption syndrome, persistent
                       diarrhea, or known sub-acute bowel obstruction > NCI CTCAE Grade 2, despite
                       medical management.

                   15. Treatment with any chemotherapy, investigational product, biologic or
                       hormonal therapy for cancer treatment within 28 days prior to signing the
                       ICF. Concurrent use of hormonal therapy for non-cancer-related conditions
                       (e.g. hormone replacement therapy) is acceptable.

                   16. History of or suspected allergy to any IP or their excipients.

                   17. Major surgical procedure (as defined by the Investigator) within 28 days
                       prior to the first dose of IP. Note: Local surgery of isolated lesions for
                       palliative intent is acceptable.

                   18. Currently enrolled in any other clinical protocol or investigational trial
                       that involves administration of experimental therapy and/or therapeutic
                       devices.

                   19. Any other clinically significant medical condition, psychiatric illness,
                       and/or organ dysfunction that will interfere with the administration of the
                       therapy according to this protocol or which, in the views of investigator,
                       preclude combination chemotherapy.

                   20. Any other malignancy within 5 years prior to randomization/treatment
                       assignement, or advanced malignant hepatic tumors, with the exception of
                       adequately treated squamous cell carcinoma of the skin, in-situ carcinoma
                       of the cervix, uteri, non-melanomatous skin cancer, carcinoma in situ of
                       the breast, or incidental histological finding of prostate cancer (TNM
                       Classification of Malignant Tumours (TNM) stage of T1a or T1b). (All
                       treatment of which should have been completed 6 months prior to signing
                       ICF).

                   21. Radiotherapy ‰ä_ 4 weeks or limited field radiation for palliation ‰ä_ 2 weeks
                       prior to starting IP, and/or from whom ‰ä´ 30% of the bone marrow was
                       irradiated. Prior radiation therapy to a target lesion is permitted only if
                       there has been clear progression of the lesion since radiation was
                       completed.

                   22. Any condition including the presence of laboratory abnormalities, which
                       places the subject at unacceptable risk if he/she were to participate in
                       the study.

                   23. Any medical condition that confounds the ability to interpret data from the
                       study.

                   24. Female patients who are pregnant or breastfeeding or female patients of
                       reproductive potential who are not willing to employ effective birth
                       control from screening to 90 days after the last dose of durvalumab.

                   25. Male patients of reproductive potential who are not willing to employ
                       effective birth control from screenin to 90 days after the last dose of
                       durvalumab and from screening to 6 months after the last dose of of
                       nab-paclitaxel.

                   26. History of allogenic organ transplantation.

                   27. Active or prior documented autoimmune or inflammatory disorders (including
                       inflammatory bowel disease [eg, colitis or Crohn's disease], diverticulitis
                       [with the exception of diverticulosis], celiac disease, irritable bowel
                       disease, or other serious gastrointestinal chronic conditions associated
                       with diarrhea, systemic lupus erythematosus, sarcoidosis syndrome, or
                       Wegener's syndrome [granulomatosis with polyangiitis, Graves' disease,
                       rheumatoid arthritis, hypophysitis, uveitis, etc]) within the past 3 years
                       prior to the start of treatment. The following are exceptions to this
                       criterion:

               -  Patients with vitiligo or alopecia

               -  Patients with hypothyroidism (eg, following Hashimoto's syndrome) stable on
                  hormone replacement

               -  Any chronic skin condition that does not require systemic therapy

               -  Patients without active disease in the last 5 years may be included but only
                  after consultation with the study physician 28. Current or prior use of
                  immunosuppressive medication within 14 days before the first dose of durvalumab.
                  The following are exceptions to this criterion:

               -  Intranasal, inhaled, topical steroids, or local steroid injections (eg, intra
                  articular injection)

               -  Systemic corticosteroids at physiologic doses not to exceed 10 mg/day of
                  prednisone or its equivalent

               -  Steroids as premedication for hypersensitivity reactions (eg, CT scan
                  premedication) 29. Receipt of live attenuated vaccine within 30 days prior to
                  the first dose of IP. Note: Patients, if enrolled, should not receive live
                  vaccine during the study and up to 30 days after the last dose of IP.

                  30. Prior enrollment and treatment in a previous durvalumab clinical study. 31.
                  Patients who have received prior anti-PD-1 or anti PD-L1:

               -  Must not have experienced a toxicity that led to permanent discontinuation of
                  prior immunotherapy.

               -  All AEs while receiving prior immunotherapy must have completely resolved or
                  resolved to baseline prior to screening for this study.

               -  Must not have experienced a ‰ä´ Grade 3 immune related AE or an immune related
                  neurologic or ocular AE of any grade while receiving prior immunotherapy. NOTE:
                  Subjects with endocrine AE of ‰ä_ Grade 2 are permitted to enroll if they are
